Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","776","Tonga","5510","Production","01610","Coffee, green","2023","2023","t","15.05","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","780","Trinidad and Tobago","5510","Production","01610","Coffee, green","2023","2023","t","771.33","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","800","Uganda","5510","Production","01610","Coffee, green","2023","2023","t","384000","X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products","834","United Republic of Tanzania","5510","Production","01610","Coffee, green","2023","2023","t","62917","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01610","Coffee, green","2023","2023","t","3121","A","Official figure",""
"QCL","Crops and livestock products","548","Vanuatu","5510","Production","01610","Coffee, green","2023","2023","t","14.32","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","862","Venezuela (Bolivarian Republic of)","5510","Production","01610","Coffee, green","2023","2023","t","56380.58","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","704","Viet Nam","5510","Production","01610","Coffee, green","2023","2023","t","1956782.46","A","Official figure",""
"QCL","Crops and livestock products","887","Yemen","5510","Production","01610","Coffee, green","2023","2023","t","30290.89","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","894","Zambia","5510","Production","01610","Coffee, green","2023","2023","t","8786.74","E","Estimated value",""
"QCL","Crops and livestock products","716","Zimbabwe","5510","Production","01610","Coffee, green","2023","2023","t","698.88","I","Value imputed by a receiving agency",""
